date,open,high,low,close,volume
2014-10-02,384.85,385.82,372.0,374.68,10414.19712293004
2014-10-03,376.29,378.11,353.75,358.74,20408.975053959806
2014-10-04,358.71,365.07,322.04,326.21,28981.80406598909
2014-10-05,326.24,339.43,275.0,323.52,61726.371608703965
2014-10-06,322.82,347.0,295.89,328.59,69537.66216756462
2014-10-07,328.56,336.99,312.37,334.8,22961.89001300981
2014-10-08,334.8,359.0,326.93,355.73,28614.831065099665
2014-10-09,355.73,395.55,349.0,364.01,47817.25004767218
2014-10-10,364.01,380.08,351.1,360.89,20543.275637379807
2014-10-11,360.85,368.06,352.1,362.0,9973.268705800148
2014-10-12,362.77,383.6,354.71,378.11,14250.47171152005
2014-10-13,378.48,405.0,368.07,392.6,26083.74635604967
2014-10-14,392.99,417.99,390.48,403.38,24822.1624571295
2014-10-15,402.01,404.32,385.92,394.52,19147.690420409537
2014-10-16,394.52,399.0,370.1,383.95,22776.515420938933
2014-10-17,384.19,386.0,370.96,383.65,10507.82628734009
2014-10-18,383.2,397.29,377.0,390.58,7074.82542790002
2014-10-19,390.59,394.25,385.0,387.53,3242.373679779999
2014-10-20,389.06,390.65,376.2,381.21,12081.79942479
2014-10-21,381.0,393.55,378.98,385.81,7953.323050080018
2014-10-22,385.79,388.87,380.0,382.04,8315.650195970007
2014-10-23,382.05,384.55,352.4,357.18,21058.440565409408
2014-10-24,356.81,363.71,344.34,358.86,15639.504517209883
2014-10-25,358.78,359.1,341.22,348.69,11095.799139049894
2014-10-26,348.69,363.0,344.5,355.18,7916.85437019011
2014-10-27,355.19,358.65,349.21,350.0,9540.671677660092
2014-10-28,351.03,359.5,350.09,356.96,7003.936450800065
2014-10-29,355.71,355.99,333.33,335.7,13256.254481239921
2014-10-30,336.37,352.83,332.99,346.14,14119.765186830022
2014-10-31,346.14,347.96,335.5,337.99,7525.757245280088
2014-11-01,337.99,339.47,316.61,324.7,14970.557855600186
2014-11-02,324.55,329.0,318.24,324.36,8335.416861500105
2014-11-03,324.23,333.99,322.74,325.5,11276.27248027019
2014-11-04,326.45,332.9,320.0,330.22,13703.077968949934
2014-11-05,329.96,344.17,328.8,338.38,15373.399891870149
2014-11-06,338.37,353.1,336.27,349.99,14288.796653069976
2014-11-07,349.99,352.15,340.4,342.16,7243.125424760049
2014-11-08,342.16,347.75,340.6,345.39,3771.0324892000076
2014-11-09,346.19,366.35,343.4,364.77,10537.15947887994
2014-11-10,365.37,377.77,357.3,366.43,19273.074599739844
2014-11-11,366.43,371.52,360.28,370.65,7702.421818519979
2014-11-12,370.09,434.8,369.85,426.63,44040.40209560072
2014-11-13,426.64,453.92,381.55,420.93,49884.511982010714
2014-11-14,417.85,420.3,382.95,399.98,21657.71043488979
2014-11-15,399.97,407.22,369.0,376.99,14428.769070960047
2014-11-16,376.97,395.0,375.0,389.86,9680.49225548008
2014-11-17,389.86,415.0,375.0,387.69,24309.43918878961
2014-11-18,388.72,394.64,371.0,374.88,15205.255952900035
2014-11-19,374.87,386.39,371.7,379.03,8984.981223399978
2014-11-20,379.04,381.8,351.8,356.47,16380.894700340077
2014-11-21,356.47,358.49,342.05,351.2,15248.88656336975
2014-11-22,351.19,365.93,350.7,353.12,6705.697686250003
2014-11-23,354.29,373.5,353.01,367.17,7971.846830900007
2014-11-24,367.17,389.99,366.67,375.99,19079.676733169563
2014-11-25,375.99,395.11,374.31,377.37,16156.695211489647
2014-11-26,377.05,379.22,363.38,368.5,13021.294045859904
2014-11-27,368.5,375.33,366.37,369.98,6218.389733619999
2014-11-28,369.98,381.34,358.0,376.86,13791.867242279977
2014-11-29,376.0,386.6,372.25,375.49,7252.091965270045
2014-11-30,375.48,381.99,373.32,377.01,3085.2987873800025
2014-12-01,376.09,382.31,373.03,376.53,6937.824967390007
2014-12-02,376.53,382.86,375.23,379.52,6550.778982560033
2014-12-03,379.52,383.0,374.01,375.33,8457.231147080038
2014-12-04,376.61,378.99,360.0,369.16,12332.873307120028
2014-12-05,369.89,377.89,365.61,376.0,8600.51463149006
2014-12-06,376.0,376.99,371.31,374.38,2386.1287834000054
2014-12-07,375.05,377.5,373.16,377.26,2490.6683465700044
2014-12-08,376.03,377.26,359.01,361.3,12336.729267310055
2014-12-09,362.74,364.59,343.97,352.03,19034.12180696002
2014-12-10,352.02,353.74,345.0,345.21,6964.18847778003
2014-12-11,345.22,364.43,339.8,348.9,16159.747146379998
2014-12-12,348.88,358.59,348.0,352.24,8079.630217560066
2014-12-13,353.33,354.41,347.03,351.67,3845.2428271899985
2014-12-14,351.67,359.3,347.44,356.52,6538.89309650001
2014-12-15,357.3,357.3,346.21,349.0,8092.841380559936
2014-12-16,348.85,349.35,327.34,329.05,18183.371924510244
2014-12-17,329.05,335.99,315.23,322.0,22891.993641680005
2014-12-18,321.96,325.61,304.99,312.67,21603.61278538998
2014-12-19,312.65,320.0,307.11,318.33,15995.618913759965
2014-12-20,318.58,333.0,316.52,331.79,11378.888508499997
2014-12-21,331.77,332.31,318.78,320.01,6358.082484600023
2014-12-22,320.88,333.99,319.9,331.56,11812.766426190292
2014-12-23,332.52,338.99,327.49,336.92,7679.774009060055
2014-12-24,336.9,336.9,320.92,323.06,5884.875997680018
2014-12-25,323.03,323.72,316.63,319.86,3888.248149640021
2014-12-26,319.85,332.0,316.64,328.27,6406.264428730006
2014-12-27,329.31,329.31,311.63,316.47,8687.535557169978
2014-12-28,316.48,319.56,311.22,317.64,4121.0758535899995
2014-12-29,317.64,320.14,310.26,313.01,6929.626203970002
2014-12-30,313.36,316.77,310.0,311.07,8885.659782270046
2014-12-31,311.1,321.0,310.69,321.0,6338.201119790002
2015-01-01,321.0,321.0,312.6,313.81,3087.4365539500095
2015-01-02,313.82,317.01,311.96,315.42,3468.2813752299808
2015-01-03,315.42,316.58,280.0,282.0,21752.7191462794
2015-01-04,280.0,289.39,255.0,264.0,41441.278552869866
2015-01-05,264.55,280.0,264.07,276.8,9528.271002030082
2015-01-06,,,,,0.0
2015-01-07,,,,,0.0
2015-01-08,,,,,0.0
2015-01-09,272.45,305.0,272.45,293.97,9914.24959431009
2015-01-10,293.89,295.0,271.03,275.59,29448.777845199165
2015-01-11,275.6,280.94,262.08,266.39,12758.949044180095
2015-01-12,266.34,272.43,263.54,267.42,10478.250213620082
2015-01-13,267.1,268.15,216.0,227.0,60556.16271657169
2015-01-14,227.01,230.89,152.4,171.41,124188.88508261568
2015-01-15,172.0,233.9,168.5,210.98,83488.41618526979
2015-01-16,210.69,223.15,198.04,208.03,34723.34835251922
2015-01-17,208.02,212.84,192.17,199.69,19121.88947942989
2015-01-18,199.69,222.0,195.02,211.85,18205.180361909755
